"tag","synonyms","mustInclude","domain","folder","active"
"Alcohol-free effects / alcohol alternatives","alcohol-free buzz,alcohol substitute,GABA modulation beverage,kava drink,adaptogenic beverage,social alcohol alternative","beverage,alcohol-free","Brewing & Process","Brewing & Process","true"
"Non-alcoholic beer process innovation","dealcoholization,vacuum distillation,reverse osmosis beer,pervaporation,spinning cone column,arrested fermentation NA","non-alcoholic,beer","Brewing & Process","Brewing & Process","true"
"NOLO sensory improvement (body, foam, aroma)","mouthfeel enhancement NOLO,foam stability non-alcoholic,aroma retention NA beer,worty flavor sensory,body improvement NA,sensory quality NA beer","non-alcoholic,sensory","Brewing & Process","Brewing & Process","true"
"Aroma retention during dealcoholization","volatile aroma recovery,dealcoholization aroma loss,flavor stripping,volatile compound retention,aroma recovery beer","dealcoholization,aroma","Brewing & Process","Brewing & Process","true"
"Worty flavor reduction in NA beer","Strecker aldehydes NA beer,worty off-flavor,aldehyde reduction non-alcoholic,carbonyl compounds NA beer,green flavor reduction","non-alcoholic,aldehyde","Brewing & Process","Brewing & Process","true"
"Low-alcohol fermentation strategies","arrested fermentation,cold contact fermentation,maltose-negative yeast,low-alcohol yeast,short fermentation strategy","low-alcohol,fermentation","Brewing & Process","Brewing & Process","true"
"Low-energy dealcoholization","energy efficient dealcoholization,heat integration dealcoholization,osmotic distillation energy,membrane dealcoholization energy,pervaporation energy saving","dealcoholization,energy","Brewing & Process","Brewing & Process","true"
"Off-flavors in beer (metallic, phenolic, sulfur)","metallic off-flavor,phenolic off-flavor,dimethyl sulfide DMS,diacetyl,4-vinyl guaiacol,hydrogen sulfide beer","beer,off-flavor","Brewing & Process","Brewing & Process","true"
"Gushing prediction and mitigation","beer gushing,overfoaming,primary gushing,secondary gushing,hydrophobins,Fusarium gushing","beer,gushing","Brewing & Process","Brewing & Process","true"
"Beer haze & colloidal stability","chill haze,permanent haze,protein-polyphenol complex,colloidal stability beer,silica gel treatment,PVPP beer","beer,haze","Brewing & Process","Brewing & Process","true"
"Beer oxidation & shelf-life markers","beer staling,trans-2-nonenal,oxidation markers beer,Maillard staling beer,oxygen scavengers beer,shelf-life extension","beer,staling","Brewing & Process","Brewing & Process","true"
"Foam stability: proteins, polysaccharides","foam retention beer,LTP1 protein beer,protein Z beer,iso-alpha acids foam,lipid transfer protein foam,foam-active proteins","beer,foam","Brewing & Process","Brewing & Process","true"
"Foam-negative lipids control","foam negative lipids beer,antifoam compounds,lipid-protein interaction foam,linoleic acid foam inhibition,lipid removal brewing","beer,foam","Brewing & Process","Brewing & Process","true"
"Thiols in beer (3MH/3MHA) & release mechanisms","volatile thiols beer,3-mercaptohexanol,3-mercaptohexyl acetate,thiol precursors,cysteinylated thiol precursors,IRC7 beta-lyase","thiol,beer","Brewing & Process","Brewing & Process","true"
"Hop aroma biotransformation by yeast","hop biotransformation,terpene biotransformation,linalool geraniol release,glycoside hydrolysis hop,beta-lyase hop thiols","hop,biotransformation","Brewing & Process","Brewing & Process","true"
"CIP alternatives (chemical-free, enzyme, ozone)","enzymatic CIP,ozone cleaning brewery,electrolyzed water sanitation,chemical-free CIP,plasma cleaning brewery,UV-C sanitation","CIP,cleaning","Brewing & Process","Brewing & Process","true"
"Biofilm control in breweries","brewery biofilm,Pediococcus damnosus biofilm,Lactobacillus brevis biofilm,biofilm removal brewery,sanitation microbiology,spoilage organisms brewery","biofilm,brewery","Brewing & Process","Brewing & Process","true"
"Micro/nanobubbles for hygiene and process","nanobubbles,microbubbles,ultrafine bubbles,ozone nanobubbles,biofilm removal nanobubbles,mass transfer microbubbles","nanobubbles,microbubbles","Brewing & Process","Brewing & Process","true"
"CO2 recovery and reuse in breweries","CO2 capture brewery,fermentation CO2 recovery,carbon dioxide reuse brewing,CO2 purification brewing,biogenic CO2 capture","CO2,brewery","Brewing & Process","Brewing & Process","true"
